Week_Start_Date,Agency,Final Incident Type,of_Incidents_Calculated,Call to First Pickup,Call to PD Calltaker Handoff,Call to FDNY Pickup,Call_to_FDNY_Job_Creation,Call to EMS Pickup,Call_to_Agency_Job_Creation,Call_to_Agency_Dispatch,Call_to_Agency_Arrival,Call_to_First_Arrival(Multi-Agency Incidents),Median Pickup,Median Calltaker Handoff,Median_FDNY_Pickup,Median FDNY Job Creation,Median_Ems_Pickup,Median Ems Job Creation,Median_Dispatch,Median_Travel,Median_Cumulative_First_Arrival(Multi-Agency Incidents),Average Travel,Average Dispatch,Average EMS Processing,Average EMS Pickup,Average Calltaker Processing,Average Pickup,Average FD Pickup,Average FD Processing
6/17/2019,EMS,2. Non-Life Threatening Med Emergencies,15395,4.01,83.98,,,95.28,104.38,216.4,851.15,725.44,3,88.5,,,14,40.5,88.5,522.5,597.25,10.58,2.16,0.17,0.22,1.33,0.07,,
6/17/2019,FDNY,1. Structural Fires,223,4.02,50.43,35.63,94.1,,,121.18,317.26,312.83,3,18,5,46,,,6,194,293,3.27,0.13,,,0.77,0.07,0.09,0.97
6/17/2019,FDNY,2. Non-Structural Fires,145,4.52,33.12,35.95,124.48,,,134.45,378.12,369.98,3,18,5,43,,,7,231,321,4.06,0.16,,,0.48,0.08,0.08,1.48
6/17/2019,FDNY,3. Medical Emergencies,3882,4.04,236.52,,,75.55,231.23,260.42,554.83,464.79,3,121.5,,,5,52,6,270,408,4.91,0.4,2.03,0.09,3.87,0.07,,
6/17/2019,FDNY,4. Non-Medical Emergencies,2943,4.18,163.04,55.23,110.76,,,227.06,543.07,508.28,3,33,5,45,,,7,283,401,5.27,0.18,,,2.65,0.07,0.09,0.93
6/17/2019,NYPD,1. Critical,1247,3.86,115.9,,,,,212.55,437.77,418.39,3,90,,,,,55,144,326,3.75,1.61,,,1.87,0.06,,
6/17/2019,NYPD,2. Serious,2523,4.01,119.01,,,,,245.18,572.94,556.02,3,90,,,,,65,198,408,5.46,2.1,,,1.92,0.07,,
6/17/2019,NYPD,3. Non-Critical,672,3.88,164.35,,,,,449,1094.06,1090.1,3,132.5,,,,,118.5,370.5,746.5,10.75,4.74,,,2.67,0.06,,
6/17/2019,NYPD (Non-CIP),Alarms,2575,3.92,128.49,,,,,715.36,3242.52,3242.03,3,111,,,,,277,1376,2039,42.12,9.78,,,2.08,0.07,,
6/17/2019,NYPD (Non-CIP),Disorderly Person/Group/Noise,1703,3.96,160.96,,,,,774.19,2616.26,2604.24,3,136,,,,,217,859,1499,30.7,10.22,,,2.62,0.07,,
6/17/2019,NYPD (Non-CIP),Dispute,5746,3.9,168.94,,,,,826.62,3167.01,3155.39,3,138,,,,,213,1086.5,1781,39.01,10.96,,,2.75,0.07,,
6/17/2019,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,323,4.86,164.74,,,,,565.81,2916.35,1265.73,3,136,,,,,118,1289,433,39.18,6.68,,,2.66,0.08,,
6/17/2019,NYPD (Non-CIP),Investigate/Possible Crime,1,3,90,,,,,104,1259,1259,3,87,,,,,14,1155,1259,19.25,0.23,,,1.45,0.05,,
6/17/2019,NYPD (Non-CIP),Other Crimes (In Progress),3264,3.94,154.7,,,,,438.69,1104.63,1098.08,3,123,,,,,101,336,659.5,11.1,4.73,,,2.51,0.07,,
6/17/2019,NYPD (Non-CIP),Past Crime,3638,4.15,207.83,,,,,953.92,4472.91,4376.71,3,173,,,,,277,1951.5,2713.5,58.65,12.43,,,3.39,0.07,,
6/17/2019,NYPD (Non-CIP),Police Officer/Security Holding Suspect,176,4.19,95.68,,,,,533.86,1779.74,1733.45,3,75,,,,,134.5,733,1204.5,20.76,7.3,,,1.52,0.07,,
6/17/2019,NYPD (Non-CIP),Possible Crimes,8944,3.93,148.34,,,,,782.01,3382.24,3263.01,3,114,,,,,227,1287,1849,43.34,10.56,,,2.41,0.07,,
6/17/2019,NYPD (Non-CIP),Vehicle Accident,3929,4.23,170.95,,,,,934.87,4379.88,4313.54,3,144,,,,,324,2202,3086,57.42,12.73,,,2.78,0.07,,
6/10/2019,EMS,1. Life Threating Med Emergencies,9839,3.96,71.06,,,78.55,122.49,160.48,566.48,492.23,3,75.5,,,15,38.5,84.5,363.25,445.25,6.77,1.4,0.68,0.15,1.12,0.07,,
6/10/2019,EMS,2. Non-Life Threatening Med Emergencies,15146,3.91,89.21,,,99.95,124.73,210.34,817.72,701.13,3,88,,,14,41.5,88,507,584,10.12,1.97,0.42,0.21,1.42,0.07,,
6/10/2019,FDNY,1. Structural Fires,244,3.8,74.65,31.97,81.91,,,135.53,338.59,309.22,3,17,5,45,,,6.5,194.5,283,3.38,0.13,,,1.17,0.06,0.09,0.83
6/10/2019,FDNY,2. Non-Structural Fires,152,3.55,34.72,36.84,87.79,,,99.88,365.82,355.16,3,17,5,46,,,7,250,342,4.43,0.17,,,0.52,0.06,0.08,0.85
6/10/2019,FDNY,3. Medical Emergencies,3672,3.9,233.59,,,76.11,228.35,260.6,547.99,468.84,3,123,,,5,53,6,269,408,4.79,0.45,1.76,0.1,3.83,0.06,,
6/10/2019,FDNY,4. Non-Medical Emergencies,2542,3.89,136.55,56.69,110.43,,,200.03,518.26,478.15,3,35,5,46,,,7,279,400,5.3,0.2,,,2.21,0.06,0.09,0.9
6/10/2019,NYPD,1. Critical,1184,3.91,119.66,,,,,214.02,434.02,417.16,3,93,,,,,53,141.5,319,3.67,1.57,,,1.93,0.07,,
6/10/2019,NYPD,2. Serious,2532,3.84,114.65,,,,,232.41,555.86,529.98,3,87,,,,,67,196,405,5.39,1.96,,,1.85,0.06,,
6/10/2019,NYPD,3. Non-Critical,650,3.72,173.57,,,,,475.87,1266.84,1259.72,3,142.5,,,,,107.5,352,689.5,13.18,5.04,,,2.83,0.06,,
6/10/2019,NYPD (Non-CIP),Alarms,2362,3.82,123.41,,,,,738.3,3297.5,3297.5,3,104,,,,,282,1350.5,2006,42.65,10.25,,,1.99,0.06,,
6/10/2019,NYPD (Non-CIP),Disorderly Person/Group/Noise,1749,3.78,165.48,,,,,763.96,2560.68,2551.17,3,142,,,,,222,836,1489,29.95,9.97,,,2.7,0.06,,
6/10/2019,NYPD (Non-CIP),Dispute,5570,3.74,167.29,,,,,840.76,3153.19,3131.03,3,137,,,,,229,1025.5,1743.5,38.54,11.22,,,2.73,0.06,,
6/10/2019,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,291,3.99,158.15,,,,,452.21,2753.52,1350.16,3,130,,,,,93,1268,444,38.36,4.9,,,2.57,0.07,,
6/10/2019,NYPD (Non-CIP),Investigate/Possible Crime,3,8,140.33,,,,,1667.67,2714.67,2714.67,4,125,,,,,2021,1347,2114,17.45,25.46,,,2.21,0.13,,
6/10/2019,NYPD (Non-CIP),Other Crimes (In Progress),3169,3.87,156.49,,,,,410.65,1114.03,1108.81,3,126,,,,,101,333,653,11.72,4.24,,,2.54,0.06,,
6/10/2019,NYPD (Non-CIP),Past Crime,3514,3.88,204.12,,,,,965.92,4365.94,4259.43,3,171,,,,,291,1996.5,2763.5,56.67,12.7,,,3.34,0.06,,
6/10/2019,NYPD (Non-CIP),Police Officer/Security Holding Suspect,183,4.16,102.18,,,,,585.94,1920.77,1908.4,3,79,,,,,138,781,1239,22.25,8.06,,,1.63,0.07,,
6/10/2019,NYPD (Non-CIP),Possible Crimes,8442,3.78,147.34,,,,,789.43,3530.34,3417.37,3,112,,,,,243,1314,1923.5,45.68,10.7,,,2.39,0.06,,
6/10/2019,NYPD (Non-CIP),Vehicle Accident,3842,3.94,168.5,,,,,967.37,4498.73,4413.58,3,142,,,,,340,2180,3020.5,58.86,13.31,,,2.74,0.07,,
6/3/2019,EMS,1. Life Threating Med Emergencies,10306,4.07,69.2,,,77.48,110.96,161.63,577.84,496.37,3,77.5,,,16,38,85.5,361.5,448.5,6.94,1.48,0.55,0.17,1.09,0.07,,
6/3/2019,EMS,2. Non-Life Threatening Med Emergencies,15067,4.05,82.8,,,95.2,103.44,260.94,914.62,774.81,3,88.5,,,15,41,94.5,529.5,615.5,10.89,2.88,0.12,0.24,1.31,0.07,,
6/3/2019,FDNY,1. Structural Fires,229,3.74,392.85,33.07,84.82,,,457.52,656.42,653.55,3,16,5,48,,,7,193,277,3.31,0.13,,,6.49,0.06,0.09,0.86
6/3/2019,FDNY,2. Non-Structural Fires,164,4.35,565.07,35.12,88.85,,,629.87,894.99,883.26,4,17,5,47,,,7,244,329.5,4.42,0.14,,,9.35,0.07,0.1,0.9
6/3/2019,FDNY,3. Medical Emergencies,3830,4.15,249.79,,,77.34,244.26,277.75,567.16,480.45,3,123,,,5,52,6,269,411,4.82,0.47,2.1,0.1,4.09,0.07,,
6/3/2019,FDNY,4. Non-Medical Emergencies,2596,4.15,142.63,54.55,113.72,,,209.17,527.79,488.18,3,33,5,46,,,7,280,402.5,5.31,0.19,,,2.31,0.07,0.09,0.99
6/3/2019,NYPD,1. Critical,1157,4.08,120.03,,,,,210.73,421.6,410.81,3,91,,,,,55,130,317,3.51,1.51,,,1.93,0.07,,
6/3/2019,NYPD,2. Serious,2501,4.06,120.08,,,,,240.9,590.08,565.54,3,92,,,,,68,198,407,5.82,2.01,,,1.93,0.07,,
6/3/2019,NYPD,3. Non-Critical,673,3.97,167.83,,,,,442.72,1221.75,1208.24,3,137,,,,,121,368,750,12.98,4.58,,,2.73,0.07,,
6/3/2019,NYPD (Non-CIP),Alarms,2352,3.99,125.32,,,,,730.25,3358.92,3358.26,3,107,,,,,278.5,1414,2089.5,43.81,10.08,,,2.02,0.07,,
6/3/2019,NYPD (Non-CIP),Disorderly Person/Group/Noise,1847,4.18,166.75,,,,,778.6,2748.28,2741.17,3,143,,,,,236,934,1608,32.83,10.2,,,2.71,0.07,,
6/3/2019,NYPD (Non-CIP),Dispute,5593,4.03,171.47,,,,,822.78,3139.36,3105.25,3,143,,,,,224,1018,1748,38.61,10.86,,,2.79,0.07,,
6/3/2019,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,315,4.42,153.03,,,,,433.98,2466.73,1221.68,3,130,,,,,101,1257,450,33.88,4.68,,,2.48,0.07,,
6/3/2019,NYPD (Non-CIP),Investigate/Possible Crime,2,23.5,215.5,,,,,1100,2602.5,2602.5,23.5,192,,,,,884.5,1502.5,2602.5,25.04,14.74,,,3.2,0.39,,
6/3/2019,NYPD (Non-CIP),Other Crimes (In Progress),3445,4.05,151.91,,,,,406.59,1081.36,1073.3,3,121,,,,,102,326,642,11.25,4.24,,,2.46,0.07,,
6/3/2019,NYPD (Non-CIP),Past Crime,3392,4.09,204.92,,,,,958.05,4451.16,4349.62,3,173,,,,,273.5,1895,2641,58.22,12.55,,,3.35,0.07,,
6/3/2019,NYPD (Non-CIP),Police Officer/Security Holding Suspect,200,4.29,106.48,,,,,480.2,1661.77,1661.26,3,82,,,,,140.5,825.5,1194.5,19.69,6.23,,,1.7,0.07,,
6/3/2019,NYPD (Non-CIP),Possible Crimes,8775,3.99,149.38,,,,,783.88,3394.67,3285.07,3,114,,,,,230,1260,1861,43.51,10.57,,,2.42,0.07,,
6/3/2019,NYPD (Non-CIP),Vehicle Accident,3820,4.11,172.72,,,,,1007.72,4615.76,4522.39,3,144,,,,,354,2324.5,3140,60.13,13.92,,,2.81,0.07,,
5/27/2019,EMS,1. Life Threating Med Emergencies,10171,4.09,64.46,,,72.37,98.33,160.09,578.13,499.09,3,71.5,,,15.5,38,87,364.25,437.5,6.97,1.52,0.39,0.16,1.01,0.07,,
5/27/2019,EMS,2. Non-Life Threatening Med Emergencies,14782,4.01,75.73,,,87.36,72.61,282.14,947.4,794.82,3,85,,,15,40.5,95,541.25,597.25,11.09,3.35,-0.25,0.22,1.2,0.07,,
5/27/2019,FDNY,1. Structural Fires,231,3.97,64.75,33.04,85.96,,,129.81,324.23,321.71,3,18,5,49,,,7,187,279,3.24,0.13,,,1.01,0.07,0.08,0.88
5/27/2019,FDNY,2. Non-Structural Fires,148,3.73,64.42,37.68,88.54,,,128.16,391.54,380.16,3,17,5,42,,,7,251,344.5,4.39,0.16,,,1.01,0.06,0.08,0.85
5/27/2019,FDNY,3. Medical Emergencies,3919,4.06,260.14,,,74.33,254.42,287.92,576.86,494.84,3,122,,,5,54,6,270,412,4.82,0.46,2.25,0.09,4.27,0.07,,
5/27/2019,FDNY,4. Non-Medical Emergencies,2746,4.07,147.76,52.88,105.57,,,209.02,527.85,490.83,3,30,5,46,,,7,278,399,5.31,0.17,,,2.39,0.07,0.09,0.88
5/27/2019,NYPD,1. Critical,1152,4.07,113.63,,,,,205.48,407.91,398.19,3,82,,,,,57,135.5,313.5,3.37,1.53,,,1.83,0.07,,
5/27/2019,NYPD,2. Serious,2657,4.05,112.45,,,,,245.91,576.67,548.91,3,85,,,,,68,201,409,5.51,2.22,,,1.81,0.07,,
5/27/2019,NYPD,3. Non-Critical,687,4.24,160.21,,,,,524.1,1295.67,1279.31,3,134,,,,,119,363,687,12.86,6.06,,,2.6,0.07,,
5/27/2019,NYPD (Non-CIP),Alarms,2435,3.94,120.91,,,,,714.16,3115.25,3113,3,104,,,,,281,1285,1919,40.02,9.89,,,1.95,0.07,,
5/27/2019,NYPD (Non-CIP),Disorderly Person/Group/Noise,1747,4.1,160.07,,,,,735.79,2603.91,2580.66,3,139,,,,,239,858,1488,31.14,9.6,,,2.6,0.07,,
5/27/2019,NYPD (Non-CIP),Dispute,5696,4.01,162.93,,,,,830.78,3079.59,3054.75,3,136,,,,,225.5,987,1686,37.48,11.13,,,2.65,0.07,,
5/27/2019,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,257,4.37,152.38,,,,,477.41,2520.03,1191.48,3,126,,,,,98,1153,439,34.04,5.42,,,2.47,0.07,,
5/27/2019,NYPD (Non-CIP),Investigate/Possible Crime,4,3.5,101.75,,,,,609.5,3872.75,3872.75,4,86,,,,,75.5,2399,2541.5,54.39,8.46,,,1.64,0.06,,
5/27/2019,NYPD (Non-CIP),Other Crimes (In Progress),3469,4.02,146.27,,,,,418.31,1096.24,1088.44,3,116,,,,,105,323,636,11.3,4.53,,,2.37,0.07,,
5/27/2019,NYPD (Non-CIP),Past Crime,3342,4.09,197.82,,,,,913.27,4367.28,4251.57,3,167,,,,,268,1892.5,2634,57.57,11.92,,,3.23,0.07,,
5/27/2019,NYPD (Non-CIP),Police Officer/Security Holding Suspect,190,4.43,103.09,,,,,479.11,1647.41,1644.99,3,83,,,,,128,681.5,1228.5,19.47,6.27,,,1.64,0.07,,
5/27/2019,NYPD (Non-CIP),Possible Crimes,8773,4.02,143.06,,,,,779.58,3289.14,3183.99,3,110,,,,,225,1254,1845,41.83,10.61,,,2.32,0.07,,
5/27/2019,NYPD (Non-CIP),Vehicle Accident,3592,4.2,165.94,,,,,923.88,4235.91,4146.53,3,142,,,,,326,2076,2859.5,55.2,12.63,,,2.7,0.07,,
5/20/2019,EMS,1. Life Threating Med Emergencies,10187,3.87,63.05,,,70.46,93.59,162.44,589.37,503.64,3,72.75,,,16,37.5,88.5,374,438,7.12,1.6,0.37,0.15,0.99,0.06,,
5/20/2019,EMS,2. Non-Life Threatening Med Emergencies,15208,3.84,70.27,,,81.9,52.99,319.2,1006.63,831.28,3,86.5,,,15.5,40,100.5,552.5,619.5,11.46,4.01,-0.5,0.22,1.11,0.06,,
5/20/2019,FDNY,1. Structural Fires,222,3.8,28.73,33.28,95.87,,,103.86,300.63,296.78,3,16,5,50,,,7,184,283.5,3.28,0.13,,,0.42,0.06,0.09,1.04
5/20/2019,FDNY,2. Non-Structural Fires,219,3.83,28.09,32.26,89.39,,,99,365.95,361.47,3,16,5,45,,,7,249,329,4.45,0.15,,,0.4,0.06,0.08,0.95
5/20/2019,FDNY,3. Medical Emergencies,3894,3.88,265.57,,,74.17,259.75,294.74,585.53,493.13,3,121.5,,,5,52,6,269,409,4.85,0.49,2.19,0.08,4.36,0.06,,
5/20/2019,FDNY,4. Non-Medical Emergencies,2753,3.94,145.85,52.91,113.98,,,215.36,530.65,485.53,3,33,5,47,,,7,280,401,5.25,0.19,,,2.37,0.07,0.09,1.02
5/20/2019,NYPD,1. Critical,1135,3.69,111.7,,,,,202.55,394.25,373.51,3,86,,,,,53,134,308,3.19,1.51,,,1.8,0.06,,
5/20/2019,NYPD,2. Serious,2699,3.82,111.82,,,,,235.44,557.83,534.92,3,85,,,,,65,192,390,5.37,2.06,,,1.8,0.06,,
5/20/2019,NYPD,3. Non-Critical,652,3.75,163.91,,,,,449.54,1223.64,1205.9,3,139,,,,,109.5,390.5,741,12.9,4.76,,,2.67,0.06,,
5/20/2019,NYPD (Non-CIP),Alarms,2679,3.74,121.62,,,,,725.96,3233.28,3232.75,3,104,,,,,294,1351,2047,41.79,10.07,,,1.96,0.06,,
5/20/2019,NYPD (Non-CIP),Disorderly Person/Group/Noise,1861,3.83,163.7,,,,,733.55,2584.19,2541.17,3,144,,,,,220,825,1456,30.84,9.5,,,2.66,0.06,,
5/20/2019,NYPD (Non-CIP),Dispute,5716,3.73,167.37,,,,,805.86,3035.32,3009.26,3,141,,,,,218,992,1659,37.16,10.64,,,2.73,0.06,,
5/20/2019,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,337,4.05,150.51,,,,,463.06,2723.42,1244.87,3,125,,,,,123,1277,419,37.67,5.21,,,2.44,0.07,,
5/20/2019,NYPD (Non-CIP),Investigate/Possible Crime,3,3.33,234.67,,,,,486.33,1094,1094,4,124,,,,,265,638,1051,10.13,4.19,,,3.86,0.06,,
5/20/2019,NYPD (Non-CIP),Other Crimes (In Progress),3307,3.82,149.87,,,,,396.19,1021.88,1019.5,3,121,,,,,97,316,623,10.43,4.11,,,2.43,0.06,,
5/20/2019,NYPD (Non-CIP),Past Crime,3511,3.83,199.13,,,,,905.21,4294.35,4200.05,3,172,,,,,272,1925,2646,56.49,11.77,,,3.25,0.06,,
5/20/2019,NYPD (Non-CIP),Police Officer/Security Holding Suspect,185,3.69,100.61,,,,,523.96,1741.59,1735.41,3,74,,,,,140,613,1020,20.29,7.06,,,1.62,0.06,,
5/20/2019,NYPD (Non-CIP),Possible Crimes,8649,3.82,145.02,,,,,746.63,3254.58,3135.79,3,111,,,,,233,1251,1803,41.8,10.03,,,2.35,0.06,,
5/20/2019,NYPD (Non-CIP),Vehicle Accident,3868,3.88,166.84,,,,,923.27,4213.19,4129.45,3,143,,,,,342.5,2137,2973.5,54.83,12.61,,,2.72,0.06,,
5/13/2019,EMS,1. Life Threating Med Emergencies,10422,4.23,68.7,,,75.6,106.24,158.53,584.58,505.61,3,75.5,,,15,38.5,87,374.75,451.25,7.1,1.44,0.49,0.14,1.08,0.07,,
5/13/2019,EMS,2. Non-Life Threatening Med Emergencies,14492,4.27,77.03,,,87.6,66.11,266.41,941.26,785.38,3,86.5,,,14.5,41,96,542.5,599.5,11.25,3.07,-0.34,0.21,1.21,0.07,,
5/13/2019,FDNY,1. Structural Fires,238,4.85,27.98,32.98,87.21,,,95.47,284.92,284.57,3,17,5,48,,,7,183,270,3.16,0.14,,,0.39,0.08,0.08,0.9
5/13/2019,FDNY,2. Non-Structural Fires,118,4.25,39.31,35.28,83.16,,,100.25,358.24,350.47,3,17,5,43,,,7,248,331.5,4.3,0.15,,,0.58,0.07,0.09,0.8
5/13/2019,FDNY,3. Medical Emergencies,3918,4.22,235.29,,,74.51,230.1,263.59,575.84,473.61,3,119,,,5,51,6,272,409,5.2,0.47,2.09,0.08,3.85,0.07,,
5/13/2019,FDNY,4. Non-Medical Emergencies,2700,4.52,172.73,50.23,104.25,,,235.44,548.03,475.58,3,28,5,46,,,7,275,391,5.21,0.19,,,2.8,0.08,0.09,0.9
5/13/2019,NYPD,1. Critical,992,4.48,116.86,,,,,201.55,400.85,395.23,3,88,,,,,52.5,139.5,322,3.32,1.41,,,1.87,0.07,,
5/13/2019,NYPD,2. Serious,2482,4.33,116.6,,,,,230.35,561.16,544.09,3,90,,,,,65,195.5,395.5,5.51,1.9,,,1.87,0.07,,
5/13/2019,NYPD,3. Non-Critical,657,4.45,168.61,,,,,395.25,1132.72,1103.99,3,129,,,,,103,350,684,12.29,3.78,,,2.74,0.07,,
5/13/2019,NYPD (Non-CIP),Alarms,2377,4.17,127.13,,,,,660.41,2907.99,2907.87,3,108,,,,,268,1200,1815,37.46,8.89,,,2.05,0.07,,
5/13/2019,NYPD (Non-CIP),Disorderly Person/Group/Noise,1783,4.34,162.44,,,,,666.45,2398.88,2368.51,3,144,,,,,192,790,1364,28.87,8.4,,,2.63,0.07,,
5/13/2019,NYPD (Non-CIP),Dispute,5558,4.11,168.94,,,,,754.27,2881.05,2859.65,3,142,,,,,205,982,1635.5,35.45,9.76,,,2.75,0.07,,
5/13/2019,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,330,4.2,152.06,,,,,516.44,2555.52,1196.15,3,132,,,,,116.5,1157,428.5,33.98,6.07,,,2.46,0.07,,
5/13/2019,NYPD (Non-CIP),Other Crimes (In Progress),3240,4.24,151.42,,,,,393.06,1047.64,1041.45,3,121,,,,,92.5,333,631,10.91,4.03,,,2.45,0.07,,
5/13/2019,NYPD (Non-CIP),Past Crime,3355,4.37,205.15,,,,,844.44,4128.45,4030.66,3,175,,,,,244,1902,2551,54.73,10.65,,,3.35,0.07,,
5/13/2019,NYPD (Non-CIP),Police Officer/Security Holding Suspect,191,4.72,95.05,,,,,401.77,1697.15,1680.2,3,76,,,,,111,610,1002,21.59,5.11,,,1.51,0.08,,
5/13/2019,NYPD (Non-CIP),Possible Crimes,8009,4.3,149.31,,,,,710.92,3198.57,3101.14,3,114,,,,,214,1213,1780,41.46,9.36,,,2.42,0.07,,
5/13/2019,NYPD (Non-CIP),Vehicle Accident,3895,4.28,170.32,,,,,835.62,4072.61,4005.81,3,145,,,,,290,2092,2818,53.95,11.09,,,2.77,0.07,,
5/6/2019,EMS,1. Life Threating Med Emergencies,10169,3.93,67.05,,,73.56,103.72,160.78,569.92,492.72,3,72.5,,,15,38,86,363,431.5,6.82,1.49,0.48,0.13,1.05,0.07,,
5/6/2019,EMS,2. Non-Life Threatening Med Emergencies,14286,3.92,77.6,,,87.97,79.1,245.71,894.43,754.03,3,85.5,,,14.5,40,90.5,534.25,587.5,10.81,2.71,-0.17,0.2,1.23,0.07,,
5/6/2019,FDNY,1. Structural Fires,245,3.64,29.41,30.5,82.54,,,93.98,292.84,289.98,3,17,5,47,,,7,191,271,3.31,0.14,,,0.43,0.06,0.09,0.87
5/6/2019,FDNY,2. Non-Structural Fires,114,3.96,29.08,32.78,87.95,,,97.43,349.32,337.15,3,17.5,5,48,,,7,231.5,318,4.2,0.15,,,0.42,0.07,0.08,0.92
5/6/2019,FDNY,3. Medical Emergencies,3872,3.96,244.7,,,75.98,239.37,271.53,564.69,477.26,3,122,,,5,52,6,271,408,4.89,0.45,2.1,0.09,4.01,0.07,,
5/6/2019,FDNY,4. Non-Medical Emergencies,2616,3.98,117.62,50.46,111.78,,,188.94,500.64,468.36,3,27,5,48,,,7,279,397,5.2,0.2,,,1.89,0.07,0.09,1.02
5/6/2019,NYPD,1. Critical,983,3.83,115.55,,,,,200.94,385.12,367.83,3,88,,,,,53,134,313,3.07,1.42,,,1.86,0.06,,
